State,Crop_Year,Crop,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,nasa_rain_mm,nasa_tmax_c,nasa_tmin_c,rain_mm,temp_mean_c,cwr_mm,deficit_mm,fert_per_ha,pest_per_ha,econ_signal,irr_proxy_mm_base,wb_irrig_pct,observed_irrig_mm,observed_demand_mcm
Punjab,2000,Wheat,3408000.0,15551000,405.3,334563360.0,886080.0,4.503529412,,,,405.3,27.0,550,286.555,98.1699999999712,0.25999999999992374,0.5,257.1618722897694,35.3416487104871,296.69603151156537,10111.400753914148
Punjab,2001,Arhar/Tur,9200.0,7900,479.3,939596.0,2392.0,0.913333333,,,,479.3,27.0,450,138.45499999999998,102.12999998889892,0.2599999999717391,0.5,141.8732258256363,32.2073057893366,159.23299283901554,14.649435341189431
Punjab,2001,Cotton(lint),607000.0,1307000,479.3,61992910.0,157820.0,1.896363636,,,,479.3,27.0,850,538.4549999999999,102.12999999983174,0.2599999999995717,0.5,475.6794265776171,32.2073057893366,533.8840946563852,3240.676454564258
Punjab,2001,Gram,7100.0,6200,479.3,725123.0,1846.0,0.92,,,,479.3,27.0,350,38.454999999999984,102.12999998561548,0.25999999996338025,0.5,58.42167563992547,32.2073057893366,65.57021738723701,4.655485434493828
Punjab,2001,Maize,165000.0,449000,479.3,16851450.0,42900.0,2.7625,,,,479.3,27.0,500,188.45499999999998,102.12999999938103,0.2599999999984242,0.5,183.5990009275716,32.2073057893366,206.0643805750957,340.00622794890796
Punjab,2001,Rice,2487000.0,8816000,479.3,253997310.0,646620.0,3.517058824,,,,479.3,27.0,1200,888.4549999999999,102.12999999995894,0.2599999999998955,0.5,767.7598522275212,32.2073057893366,861.7038087375158,21430.57372330202
Punjab,2001,Sugarcane,142000.0,9250000,479.3,14502460.0,36920.0,67.87176471,,,,479.3,27.0,1600,1288.455,102.12999999928077,0.259999999998169,1.5,989.5660529679169,32.2073057893366,1110.6504649413575,1577.123660216728
Punjab,2001,Wheat,3420000.0,15499000,479.3,349284600.0,889200.0,4.487058824,,,,479.3,27.0,550,238.45499999999998,102.12999999997014,0.259999999999924,0.5,225.32477602095923,32.2073057893366,252.8957683015823,8649.035275914115
Punjab,2002,Arhar/Tur,7800.0,6700,301.8,738426.0,1950.0,0.927,,,,301.8,27.0,450,253.82999999999998,94.66999998786282,0.2499999999679487,0.5,221.87250023905054,31.5330084182543,247.52364964640478,19.306844672419576
Punjab,2002,Bajra,7000.0,6000,301.8,662690.0,1750.0,0.9,,,,301.8,27.0,400,203.82999999999998,94.66999998647572,0.2499999999642857,0.5,180.87250021140977,31.5330084182543,201.78355282769067,14.124848697938347
Punjab,2002,Cotton(lint),449000.0,1083000,301.8,42506830.0,112250.0,1.836,,,,301.8,27.0,850,653.8299999999999,94.66999999978916,0.2499999999994432,0.5,549.872500471265,31.5330084182543,613.4444242084878,2754.365464696111
Punjab,2002,Gram,7000.0,6700,301.8,662690.0,1750.0,0.966875,,,,301.8,27.0,350,153.82999999999998,94.66999998647572,0.2499999999642857,0.5,139.87250018498352,31.5330084182543,156.04345601033148,10.923041920723204
Punjab,2002,Maize,152000.0,310000,301.8,14389840.0,38000.0,2.083333333,,,,301.8,27.0,500,303.83,94.66999999937717,0.24999999999835526,0.5,262.87250027681387,31.5330084182543,293.2637464764117,445.7608946441459
Punjab,2002,Rice,2530000.0,8880000,301.8,239515100.0,632500.0,3.438823529,,,,301.8,27.0,1200,1003.8299999999999,94.66999999996258,0.24999999999990122,0.5,836.8725006657202,31.5330084182543,933.6251019405685,23620.715079096386
Punjab,2002,Sugarcane,153000.0,9110000,301.8,14484510.0,38250.0,58.85235294,,,,301.8,27.0,1600,1403.83,94.66999999938123,0.249999999998366,1.5,1052.872500885817,31.5330084182543,1174.5973194100525,1797.1338986973806
Punjab,2002,Wheat,3375000.0,14175000,301.8,319511250.0,843750.0,4.13,,,,301.8,27.0,550,353.83,94.66999999997195,0.24999999999992595,0.5,303.8725003051318,31.5330084182543,339.00384329588127,11441.379711235993
Punjab,2003,Arhar/Tur,9700.0,9000,451.7,960106.0,2328.0,0.947333333,,,,451.7,27.0,450,156.39499999999998,98.97999998979587,0.23999999997525773,0.5,152.57008600136973,30.7335963028921,168.98828197645096,16.391863351715745
Punjab,2003,Bajra,8000.0,8000,451.7,791840.0,1920.0,1.0,,,,451.7,27.0,400,106.39499999999998,98.9799999876275,0.23999999997,0.5,111.15077088841875,30.7335963028921,123.11179933806535,9.848943947045228
Punjab,2003,Cotton(lint),452000.0,1478000,451.7,44738960.0,108480.0,2.736,,,,451.7,27.0,850,556.395,98.97999999978101,0.23999999999946903,0.5,483.9246069079907,30.7335963028921,536.0001430868732,2422.720646752667
Punjab,2003,Gram,6000.0,5400,451.7,593880.0,1440.0,0.926923077,,,,451.7,27.0,350,56.39499999999998,98.97999998350333,0.23999999996,0.5,69.73145577455776,30.7335963028921,77.23531669867181,4.634119001920309
Punjab,2003,Maize,154000.0,459000,451.7,15242920.0,36960.0,3.086923077,,,,451.7,27.0,500,206.39499999999998,98.97999999935726,0.23999999999844154,0.5,193.9894011219352,30.7335963028921,214.86476462327045,330.8917375198365
Punjab,2003,Rice,2614000.0,9656000,451.7,258733720.0,627360.0,3.678235294,,,,451.7,27.0,1200,906.395,98.97999999996215,0.2399999999999082,0.5,773.8598126940568,30.7335963028921,857.1355215504876,22405.522533329746
Punjab,2003,Sugarcane,123000.0,6620000,451.7,12174540.0,29520.0,54.72,,,,451.7,27.0,1600,1306.395,98.97999999919529,0.2399999999980488,1.5,993.2143335896884,30.7335963028921,1100.0949679362457,1353.1168105615823
Punjab,2003,Wheat,3444000.0,14489000,451.7,340887120.0,826560.0,4.166470588,,,,451.7,27.0,550,256.395,98.97999999997127,0.23999999999993032,0.5,235.40871623478583,30.7335963028921,260.7412472615449,8979.928555687608
Punjab,2004,Arhar/Tur,8900.0,7700,366.4,964226.0,1869.0,0.928666667,,,,366.4,27.0,450,211.84,108.33999998782696,0.20999999997640448,0.5,202.34945147980008,31.6329868329868,225.9459866111179,20.109192808389494
Punjab,2004,Bajra,7000.0,7000,366.4,758380.0,1470.0,1.0,,,,366.4,27.0,400,161.84,108.33999998452285,0.20999999997,0.5,160.01951242391735,31.6329868329868,178.67983504398754,12.507588453079128
Punjab,2004,Cotton(lint),509000.0,2087000,366.4,55145060.0,106890.0,3.638888889,,,,366.4,27.0,850,611.84,108.33999999978715,0.20999999999958743,0.5,540.9889639260701,31.6329868329868,604.0751991472764,3074.742763659637
Punjab,2004,Gram,5100.0,4400,366.4,552534.0,1071.0,0.845,,,,366.4,27.0,350,111.84,108.33999997875685,0.2099999999588235,0.5,117.6895733670009,31.6329868329868,131.41368347570295,6.702097857260851
Punjab,2004,Maize,154000.0,422000,366.4,16684360.0,32340.0,2.883636364,,,,366.4,27.0,500,261.84000000000003,108.3399999992965,0.20999999999863636,0.5,244.67939054426984,31.6329868329868,273.2121381878366,420.74669280926844
Punjab,2004,Rice,2800000.0,10437000,366.4,303352000.0,588000.0,3.788823529,,,,366.4,27.0,1200,961.84,108.33999999996132,0.20999999999992502,0.5,837.2985373077998,31.6329868329868,934.9382601066374,26178.271282985846
Punjab,2004,Sugarcane,86000.0,5170000,366.4,9317240.0,18060.0,60.966,,,,366.4,27.0,1600,1361.84,108.33999999874024,0.20999999999755817,1.5,1063.9380497399316,31.6329868329868,1188.0068395717647,1021.6858820317177
Punjab,2004,Wheat,3482000.0,14698000,366.4,377239880.0,731220.0,4.178823529,,,,366.4,27.0,550,311.84000000000003,108.3399999999689,0.2099999999999397,0.5,287.0093295994164,31.6329868329868,320.4782897541449,11159.054049239327
Punjab,2005,Arhar/Tur,7800.0,6900,566.7,935376.0,1638.0,0.946153846,,,,566.7,27.0,450,81.64499999999998,119.91999998462563,0.20999999997307692,0.5,114.84264883385461,32.8692137725814,129.6557566781692,10.1131490208972
Punjab,2005,Bajra,5000.0,5000,566.7,599600.0,1050.0,1.0,,,,566.7,27.0,400,31.644999999999982,119.91999997601599,0.20999999995799998,0.5,71.3861045122809,32.8692137725814,80.59392125513368,4.029696062756685
Punjab,2005,Cotton(lint),557000.0,2395000,566.7,66795440.0,116970.0,3.967,,,,566.7,27.0,850,481.645,119.91999999978471,0.209999999999623,0.5,462.4950033779083,32.8692137725814,522.1504400302366,2908.377950968418
Punjab,2005,Gram,3900.0,3400,566.7,467688.0,819.0,0.788181818,,,,566.7,27.0,350,0.0,119.91999996925128,0.20999999994615384,0.5,41.69581019363888,32.8692137725814,47.07399102912278,1.8358856501357885
